,transliteration,sorting,period,base,logogram,morpheme_1,morpheme_2,morpheme_3,sense_hk,certainty-weight_hk,sense_hk_qid,certainty-weight_MEGA,sense_MEGA_qid,POS,number,person,category,transliteration original,unicode,roman,count,is_match
11826,i da du na pi ir,idadunapiir,oE,,,,,,,,,,,PN,,,PN,i-da-du.na-pi-ir,𒄿 𒁕 𒁺 𒈾 𒉿 𒅕,False,0,False
11827,i da di i in,idadiiin,mE,,,,,,,,,,,PN,,,PN,i-da.di-i-in,𒄿 𒁕 𒁲 𒄿 𒅔,False,0,False
11828,i dé dé,idede,oE,,,,,,,,,,,PN,,,PN,i-dé-dé,𒄿 𒌤 𒌤,False,0,False
11830,i du ur ha ap ru h,iduurhaapruh,oE,,,,,,,,,,,PN,,,PN,i-du-ur.ha-ap-ru-h,𒄿 𒁺 𒌨 𒄩 𒀊 𒊒 𒀸,False,0,False
11831,i e e,iee,oE,,,,,,,,,,,PN,,,PN,i-e-e,𒄿 𒂊 𒂊,False,0,False
11832,i e tum,ietum,oE,,,,,,,,,,,PN,,,PN,i-e-tum,𒄿 𒂊 𒌈,False,0,False
11833,i ga gu um,igaguum,oE,,,,,,,,,,,PN,,,PN,i-ga-gu-um,𒄿 𒂵 𒄖 𒌝,False,0,False
11834,i gi gi,igigi,"oE, achE",,,,,,,,,,,PN,,,PN,i-gi-gi,𒄿 𒄀 𒄀,False,0,False
11835,i gi gi tu nu iš,igigitunuis~,oB,,,,,,,,,,,PN,,,PN,i-gi-gi.tu-nu-iš,𒄿 𒄀 𒄀 𒌅 𒉡 𒅖,False,0,False
11836,i gi bu ni,igibuni,oE,,,,,,,,,,,PN,,,PN,i-gi.bu-ni,𒄿 𒄀 𒁍 𒉌,False,0,False
11837,i gi ha aš tu uk,igihaas~tuuk,oE,,,,,,,,,,,PN,,,PN,i-gi.ha-aš-tu-uk,𒄿 𒄀 𒄩 𒀸 𒌅 𒊌,False,0,False
11838,i gi hal ki,igihalki,"oE, mE",,,,,,,,,,,PN,,,PN,i-gi.hal-ki,𒄿 𒄀 𒄬 𒆠,False,0,False
11839,i gi lu lu,igilulu,oE,,,,,,,,,,,PN,,,PN,i-gi.lu-lu,𒄿 𒄀 𒇻 𒇻,False,0,False
