,txtid,lnr,cth_number,word,translit,gloss,trans_de
147073,KUB 55.27,7′,670,3,3,QUANcar,drei
147074,KUB 55.27,7′,670,2,2,QUANcar,zwei
147075,KUB 55.27,7′,670,½,½,QUANcar,ein halb
147076,KUB 55.27,7′,670,1,1,QUANcar,ein
147077,KUB 55.27,9′,670,1,1,QUANcar,ein
147078,KUB 55.27,10′,670,3,]3,QUANcar,drei
147079,KUB 55.27,10′,670,1,1,QUANcar,ein
147080,KUB 55.27,10′,670,½,½,QUANcar,ein halb
147081,KUB 55.27,10′,670,ŠA 1,~ŠA~ ⸢1,{ a → …:GEN.SG}   { b → …:GEN.PL},ein
147082,KUB 55.27,11′,670,54,54,QUANcar,54
147083,KUB 55.27,12′,670,12,12,QUANcar,zwölf
147084,KUB 55.27,14′,670,ENḫešnieš,{m}E]N-ḫe-eš-ni-eš,PNm.NOM.SG.C,EN-ḫešnieš
147085,IBoT 4.321,Vs. 6′,670,akuanzi,a-ku-wa-an-zi,3PL.PRS,trinken
147086,IBoT 4.321,Vs. 8′,670,ekuzi,e⸣-k[u-zi,3SG.PRS,trinken
147087,IBoT 4.321,Rs. 8′,670,tiezi,ti-⸢i⸣-[e-ez-zi,3SG.PRS,treten
147088,KUB 10.64,r. Kol. 9′,670,ištanani,iš-ta-na-ni,D/L.SG,Altar
147089,IBoT 3.26,5′,670,išḫamiškanzi,iš-ḫa-mi-iš-k[án-zi,3PL.PRS.IMPF,singen
147090,IBoT 3.26,12′,670,Ú-UL,~Ú-UL~,NEG,nicht
147091,IBoT 2.34,Vs. 2′,670,3,3[,QUANcar,drei
147092,IBoT 2.34,Vs. 5′,670,QA-TAM-MApat,~QA-TAM-MA~-p[át,ADV,ebenso
147093,IBoT 2.34,Vs. 8′,670,GUNNIankan,GUNNI-an-kán,FNL(a).ACC.SG,Herd
147094,IBoT 2.34,Vs. 8′,670,3,3,QUANcar,drei
147095,IBoT 2.34,Vs. 9′,670,takkan,ták-kán,CONNt=OBPk,' ta=kan
147096,IBoT 2.34,Vs. 11′,670,memai,me-ma-[i,3SG.PRS,sprechen
147097,KUB 55.4,8′,670,punušuanzi,pu-nu-šu-an-zi,INF,fragen
147098,KUB 55.4,8′,670,GARri,GAR-ri,3SG.PRS.MP,setzen
147099,KUB 55.4,9′,670,ekuzi,e-ku-zi,3SG.PRS,trinken
147100,KUB 55.4,10′,670,ḫazikkezi,ḫa-az-zi-i]k-ke-zi,3SG.PRS.IMPF,(Musikinstrument) spielen
147101,KUB 55.4,10′,670,Ú-UL,~Ú-UL~,NEG,nicht
147102,KUB 55.4,10′,670,NU.GÁL,NU.GÁL],NEG,(ist) nicht (vorhanden)
147103,KUB 55.4,11′,670,ekuzi,e-ku-zi,3SG.PRS,trinken
147104,KUB 55.4,13′,670,ekuzi,e-k]u-zi,3SG.PRS,trinken
147105,KUB 55.4,14′,670,1,1,QUANcar,ein
147106,IBoT 3.61,r. Kol. 5′,670,1,1,QUANcar,ein
147107,IBoT 3.61,r. Kol. 6′,670,nu,nu,CONNn,' nu
147108,IBoT 3.61,r. Kol. 8′,670,1,1,QUANcar,ein
147109,Bo 2162,Vs. 15′,670,utanzi,ú⸣-da-a[n-zi,3PL.PRS,(her)bringen
147110,Bo 2162,Rs. 7′,670,1-EN,1-~EN~,QUANcar,ein
147111,KBo 63.91,r. Kol. 3′,670,1,1,QUANcar,ein
147112,KBo 34.212,1′,670,nu,nu,CONNn,' nu
147113,KBo 38.149,2′,670,epzi,e-ep-zi,3SG.PRS,fassen
147114,KBo 38.149,3′,670,nukan,nu-kán,CONNn=OBPk,' nu=kan
147115,KBo 40.212,Rs. IV 1,670,KI.MIN,KI.MIN,ADV,dito
147116,KBo 38.95,r. Kol. 3′,670,epzi,e-⸢ep-zi,3SG.PRS,fassen
147117,KBo 38.95,r. Kol. 4′,670,šuppai,šu⸣-up-pa-i,D/L.SG,kultisch rein
147118,KBo 38.95,r. Kol. 5′,670,epzi,e-ep-z[i,3SG.PRS,fassen
147119,KBo 38.95,r. Kol. 10′,670,utanzi,ú-d[a-an-zi,3PL.PRS,(her)bringen
147120,KBo 38.95,r. Kol. 11′,670,1,1,QUANcar,ein
147121,KBo 38.99,1′,670,epzi,e-e]p-zi,3SG.PRS,fassen
147122,KBo 38.99,4′,670,nukan,nu-kán,CONNn=OBPk,' nu=kan
147123,KBo 38.99,5′,670,epzi,e-ep-zi,3SG.PRS,fassen
147124,KBo 38.99,6′,670,telipinun,{D}te-l]i-pí-nu-un,DN.ACC.SG.C,Tele/ipinu
147125,KBo 38.99,9′,670,epzi,⸢e⸣-ep-zi,3SG.PRS,fassen
147126,KBo 40.184,3′,670,pianzi,pí-an-[zi],3PL.PRS,geben
